"","ProfileName","ManipulatorPosition.AxisPosition","ManipulatorPosition.AxisPosition.1","ManipulatorPosition.AxisPosition.2","ManipulatorPosition.AxisPosition.3","ManipulatorPosition.AxisPosition.4","CTAxisOffset","XraySettings.Settings.kV","XraySettings.Settings.uA","XrayFilterMaterial","XrayFilterThickness","XrayHead","XrayHeadNumber","ShadingCorrections.CorrectionName","FluxNormalisation","FluxNormalisationRect.Location.X","FluxNormalisationRect.Location.Y","FluxNormalisationRect.Size.Width","FluxNormalisationRect.Size.Height","FluxNormalisationRect.X","FluxNormalisationRect.Y","FluxNormalisationRect.Width","FluxNormalisationRect.Height","IntensifierField","IrisDemand","ImagingSettings.transform","ImagingSettings.imageOffsetX","ImagingSettings.imageOffsetY","ImagingSettings.imageSizeX","ImagingSettings.imageSizeY","ImagingSettings.defaultImagingMode","ImagingSettings..attrs.exposure","ImagingSettings..attrs.gain","ImagingSettings..attrs.brightness","ImagingSettings..attrs.digitalGain","ImagingSettings..attrs.binning","ImagingSettings..attrs.WhiteToBlackLatency","ImagingSettings..attrs.BlackToWhiteLatency","ImagingSettings..attrs.WhiteToWhiteLatency","ImagingSettings..attrs.lines","ImagingSettings..attrs.accumulation","ScanFlatPanel","PanelScanImages","DetectorPixelSizeMM","MinimiseRingArtefacts","Reconstruct","ReconstructionPCName","DualEnergy","ReferenceImageFrames","OptimiseProjections","Projections","FramesPerProjection","VolumeOfInterest.XStart","VolumeOfInterest.XEnd","VolumeOfInterest.YStart","VolumeOfInterest.YEnd","VolumeOfInterest.ZStart","VolumeOfInterest.ZEnd","ReconstructionQuality","BeamHardeningPreset","NoiseReductionPreset","LinearInterpolation","MedianFilterSize","CalculateCentreOfRotation","ApplyRodCorrection","Delay.Hours","Delay.Minutes","Delay.Seconds","DataSetName","SafePosition.AxisPosition","SafePosition.AxisPosition.1","SafePosition.AxisPosition.2","SafePosition.AxisPosition.3","SafePosition.AxisPosition.4","AutomaticShadingCorrection","TallSampleRadius","UseTallSampleROI","ProjectionImageEnhancement","RunVolumeAnalysis","ProfileVersion","TallSamplePositions","TallSamplePositions.1","TallSamplePositions.2","filenm"
"11","Alex_Gears1_2_2","0","476.203","-176.8082","-598.7218","0","0","225","67","Tin","1","Reflection 225","0","Generic","true","2","68","272","76","2","68","272","76","0","100","1","0","20","2000","2000","Histogram","4000","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","false","4000","1","606","1362","0","1602","0","1867","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/Alex_Gears1_2_2 [2015-02-10 04.28.03]/Alex_Gears1_2_2.ctprofile.xml"
"12","Alex_Gears2","0","535.8268","-137.65","0","0","0","220","71","Copper","1","Reflection 225","0","Generic","true","2","68","272","76","2","68","272","76","0","100","1","24","24","2000","2000","Histogram","4000","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","1894","1","763","1296","474","1481","0","1993","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/Alex_Gears2 [2015-02-08 17.58.15]/Alex_Gears2.ctprofile.xml"
"13","BAEn5000_UD10","0","374.7","157.29","80","0","0","170","29","None","0","Reflection 225","0","Generic","true","2","53","245","196","2","53","245","196","0","100","1","2","20","1996","1996","Histogram","1000","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","2672","1","559","1457","282","1707","0","1993","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/Alex_Lego [2015-05-14 13.11.40]/Alex_Lego.ctprofile.xml"
"14","WMG_wires_testsample2","0","456.6","202.01","0","0","0","200","85","None","0","Reflection 320","4","Generic","true","11","25","59","148","11","25","59","148","0","100","1","2","20","1996","1996","Histogram","1000","3","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","16","1993","336","1720","0","1993","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/Alex_Reflector [2014-11-01 12.13.40]/Alex_Reflector.ctprofile.xml"
"15","Astheimer_S6active_B","0","424.3","240.34","-86.5867","0","0","300","167","Copper","8","Reflection 320","4","Generic","false","2","53","72","179","2","53","72","179","0","100","1","0","20","2000","2000","Histogram","4000","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","false","false","RECONPC","false","0","true","3135","1","204","1770","0","1993","9","1946","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/APC_motor_rotor [2015-08-13 11.04.44]/APC_motor_rotor.ctprofile.xml"
"16","Astheimer_S6active_B","0","326.83","-41.1","0","0","0","300","142","Copper","8","Reflection 320","4","Generic","false","2","53","72","179","2","53","72","179","0","100","1","0","20","2000","2000","Histogram","4000","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","false","false","RECONPC","false","0","true","3135","1","0","1993","308","1673","668","1993","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/APC_motor_rotor_partial [2015-08-16 12.09.43]/APC_motor_rotor_partial.ctprofile.xml"
"17","Astheimer_S6active_B","0","331.8124","-41.0713","0","0","0","300","168","Copper","8","Reflection 320","4","Generic","false","2","53","72","179","2","53","72","179","0","100","1","0","20","2000","2000","Histogram","4000","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","false","false","RECONPC","false","0","true","3135","1","0","1993","308","1674","562","1994","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/APC_motor_rotor_partial3 [2015-08-18 13.07.24]/APC_motor_rotor_partial3.ctprofile.xml"
"18","Astheimer_S6active_B","0","423.03","240.34","0","0","0","300","167","Copper","8","Reflection 320","4","Generic","false","2","53","72","179","2","53","72","179","0","100","1","0","20","2000","2000","Histogram","4000","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","false","false","RECONPC","false","0","true","3135","1","204","1770","0","1993","9","1946","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/APC_motor_rotor2 [2015-08-13 16.04.23]/APC_motor_rotor2.ctprofile.xml"
"19","WMG_Nasrin_newtrialB","0","476.69","-190.2","0","0","0","200","14","None","0","Reflection 225","0","Generic","false","2","68","272","76","2","68","272","76","0","100","1","2","20","1996","1996","Histogram","2000","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","false","4500","1","0","1995","0","1995","0","1995","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/API_Slot3L [2015-02-28 17.12.11]/API_Slot3L.ctprofile.xml"
"20","WMG_Nasrin_newtrialB","0","466.43","-192.58","0","0","0","200","15","Tin","0.25","Reflection 225","0","Generic","true","2","68","272","76","2","68","272","76","0","100","1","2","20","1996","1996","Histogram","4000","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","292","1671","537","1899","0","1994","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/API_Slot3L2 [2015-03-02 12.37.02]/API_Slot3L2.ctprofile.xml"
"21","WMG_Nasrin_newtrialB","0","477.59","-190.2","0","0","0","210","15","Tin","0.25","Reflection 225","0","Generic","true","2","68","272","76","2","68","272","76","0","100","1","2","20","1996","1996","Histogram","4000","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","0","1993","0","1993","0","1993","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/API_Slot3T [2015-03-01 16.35.04]/API_Slot3T.ctprofile.xml"
"22","Astheimer_kyroceraA","0","451.24","-62.54","0","0","0","160","68","Copper","0.5","Reflection 225","0","Generic","false","2","53","72","179","2","53","72","179","0","100","1","2","20","1996","1996","Histogram","2000","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","false","false","RECONPC","false","0","false","4000","1","364","1422","116","1911","0","1993","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/Astheimer_kyroceraA [2015-08-25 18.13.28]/Astheimer_kyroceraA.ctprofile.xml"
"23","Astheimer_kyroceraB","0","506.1742","-62.54","-127.4619","0","0","160","68","Copper","0.5","Reflection 225","0","Generic","false","2","53","72","179","2","53","72","179","0","100","1","2","20","1996","1996","Histogram","2000","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","false","false","RECONPC","false","0","false","4000","1","75","1754","276","1858","0","1993","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/Astheimer_kyroceraB [2015-08-25 20.29.37]/Astheimer_kyroceraB.ctprofile.xml"
"24","Astheimer_S6active_A","0","496.1299","-53.8502","-72.2427","0","0","200","197","Tin","0.5","Reflection 225","0","Generic","false","2","53","72","179","2","53","72","179","0","100","1","0","20","2000","2000","Histogram","1415","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","false","false","RECONPC","false","0","true","3135","1","154","1993","521","1949","0","1993","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/Astheimer_S6active_A [2015-07-31 10.31.58]/Astheimer_S6active_A.ctprofile.xml"
"25","Astheimer_S6active_B","0","427.9751","-53.8502","-72.2427","0","0","200","197","Tin","0.5","Reflection 225","0","Generic","false","2","53","72","179","2","53","72","179","0","100","1","0","20","2000","2000","Histogram","1415","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","false","false","RECONPC","false","0","true","3135","1","75","1870","210","1560","0","1993","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/Astheimer_S6active_B [2015-07-31 11.47.52]/Astheimer_S6active_B.ctprofile.xml"
"26","WMP_Aponi_larynx9","0","420.19","0.11","90","0","0","240","104","Tin","0.25","Reflection 320","4","Generic","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","1000","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","2866","1","342","1337","364","1535","355","1993","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/BAE0042_NACA4 [2015-10-29 18.13.56]/BAE0043_NACA4.ctprofile.xml"
"27","CAT_S40_b","0","253.63","-124.49","0","0","0","190","16","None","0","Reflection 225","0","Generic","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","2829","3","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","0","1995","0","1995","0","1995","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/BAE0045_KP_CFRPTube [2016-01-25 08.46.20]/BAE0045_KP_CFRPTube.ctprofile.xml"
"28",NA,"-0.000652103045","389.648682","136.646988","1.83300781","0","0","300","123","Copper","7.2","Reflection 320","4","NIKON","false","10","0","34","32","10","0","34","32","0","100","1","30","24","2000","2000","Histogram","1000","4","0","0","0","20000","0","1000","0","0","false","2","0.2","false","false","PC-UK-TR-XTH320","false",NA,"true","3141","1","0","1999","0","1999","0","1999","100","1","0","true","1","false","false","0","0","0","Nadia","1.69775021","157.86731","136.646988","1.83300781","0","false",NA,NA,"Enhance - Mild","false","0",NA,NA,NA,"Y:/CT data/BAE0046_MS [2016-01-25 11.50.56]/Nadia.ctprofile.xml"
"29",NA,"0","507.2494","-181.62","0","0","0","215","42","Tin","0.5","Reflection 225","0","Generic","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","4000","5","0","0","0","20000","0","1000","1","0","false","2","0.2","false","false","NIKON-373940","false",NA,"true","3135","1","159","1836","214","1820","210","1783","100","0","0","true","0","false","false","0","0","0","BAE0047_RC","0","428.952","-181.62","0","0","false","0","false","None","false","0",NA,NA,NA,"Y:/CT data/BAE0047_RC [2016-03-07 10.50.32]/BAE0047_RC.ctprofile.xml"
"30",NA,"0","518.9813","-191.005","0","0","0","200","30","Tin","0.625","Reflection 225","0","General","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","4000","5","0","0","0","20000","0","1000","1","0","false","2","0.2","true","false","RECONPC","false",NA,"true","3135","1","0","1995","0","1995","0","1995","100","0","0","true","0","false","false","0","0","0","BAE0047_RC_2_A2","0","390.3492","-191.005","0","0","false","0","false","None","false","0",NA,NA,NA,"Y:/CT data/BAE0047_RC_2_A2 [2016-04-06 14.55.04]/BAE0047_RC_2_A2.ctprofile.xml"
"31",NA,"0","467.882","-191.005","0","0","0","200","30","Tin","0.625","Reflection 225","0","General","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","4000","5","0","0","0","20000","0","1000","1","0","false","2","0.2","true","false","RECONPC","false",NA,"true","3135","1","0","1995","0","1995","0","1995","100","0","0","true","0","false","false","0","0","0","BAE0047_RC_2_B2","0","432.8847","-191.005","0","0","false","0","false","None","false","0",NA,NA,NA,"Y:/CT data/BAE0047_RC_2_B2 [2016-04-06 21.54.36]/BAE0047_RC_2_B2.ctprofile.xml"
"32",NA,"0","541.0362","-201.429","0","0","0","200","30","Tin","0.625","Reflection 225","0","General","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","4000","5","0","0","0","20000","0","1000","1","0","false","2","0.2","true","false","RECONPC","false",NA,"true","2522","1","444","1551","451","1579","455","1540","100","0","0","true","0","false","false","0","0","0","BAE0047_RC_2_C2","0","475.3376","-201.429","0","0","false","0","false","None","false","0",NA,NA,NA,"Y:/CT data/BAE0047_RC_2_C2 [2016-04-07 15.29.06]/BAE0047_RC_2_C2.ctprofile.xml"
"33",NA,"0","507.2494","-181.62","0","0","0","215","42","Tin","0.5","Reflection 225","0","Generic","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","4000","5","0","0","0","20000","0","1000","1","0","false","2","0.2","false","false","NIKON-373940","false",NA,"true","3135","1","159","1836","214","1820","210","1783","100","0","0","true","0","false","false","0","0","0","BAE0047_RC_B4","0","428.952","-181.62","0","0","false","0","false","None","false","0",NA,NA,NA,"Y:/CT data/BAE0047_RC_B4 [2016-03-07 14.36.36]/BAE0047_RC_B4.ctprofile.xml"
"34",NA,"0","512.2106","-202.85","90","0","0","215","42","Tin","0.5","Reflection 225","0","Generic","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","4000","5","0","0","0","20000","0","1000","1","0","false","2","0.2","false","false","RECONPC","false",NA,"true","2795","1","398","1568","341","1503","470","1529","100","0","0","true","0","false","false","0","0","0","BAE0047_RC_C6","0","428.952","-181.62","0","0","false","0","false","None","false","0",NA,NA,NA,"Y:/CT data/BAE0047_RC_C6 [2016-03-07 18.31.42]/BAE0047_RC_C6.ctprofile.xml"
"35","BAEn5000_UD10","0","395.15","-180.7","40","0","0","200","25","Tin","0.675","Reflection 225","0","Generic","true","2","53","72","179","2","53","72","179","0","100","1","2","20","1996","1996","Histogram","4000","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","0","1993","154","1215","0","1993","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/BAEn5000_UD50 [2015-05-12 13.16.29]/BAEn5000_UD50.ctprofile.xml"
"36","BAEn5000_UD10","0","395.77","-180.7","40","0","0","200","18","None","0","Reflection 225","0","Generic","true","2","53","72","179","2","53","72","179","0","100","1","2","20","1996","1996","Histogram","4000","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","0","1993","154","1215","0","1993","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/BAEn5000_UD51 [2015-05-13 14.24.29]/BAEn5000_UD51.ctprofile.xml"
"37","BAEn5000_UD10","0","395.65","-176.91","45","0","0","200","25","Tin","0.125","Reflection 225","0","Generic","false","2","53","72","179","2","53","72","179","0","100","1","2","20","1996","1996","Histogram","4000","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","408","1080","0","1993","0","1993","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/BAEn5000_UD52 [2015-05-14 16.44.53]/BAEn5000_UD52.ctprofile.xml"
"38","BAEn5000_UD10","0","395.59","-176.91","45","0","0","200","40","Tin","0.675","Reflection 225","0","Generic","false","2","53","72","179","2","53","72","179","0","100","1","2","20","1996","1996","Histogram","4000","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","false","false","RECONPC","false","0","true","3135","1","408","1080","0","1993","0","1993","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/BAEn5000_UD53 [2015-05-15 14.43.35]/BAEn5000_UD53.ctprofile.xml"
"39",NA,"-0.0077","529.0662","-118.9702","0","0","0","210","41",NA,"0","Reflection 225","0","gn","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","1000","4","0","0","0","20000","0","1000","1","0","false","2","0.2","false","false","NIKON-373940","false",NA,"true","3135","1","0","1995","0","1995","0","1995","100","0","0","true","0","false","false","0","0","0","BAEnM1","-0.0141","413.8772","-118.9702","0","0","false","0","false","None","false","0",NA,NA,NA,"Y:/CT data/BAEnM1 [2016-03-01 15.48.00]/BAEnM1.ctprofile.xml"
"40",NA,"0","529.0662","-118.9702","0","0","0","210","36","Copper","0.5","Reflection 225","0","gn10","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","1415","5","0","0","0","20000","0","1000","1","0","false","2","0.2","false","false","NIKON-373940","false",NA,"true","3135","1","0","1995","0","1995","0","1995","100","0","0","true","0","false","false","0","0","0","BAEnM10","0","351.8922","-118.9702","0","0","false","0","false","None","false","0",NA,NA,NA,"Y:/CT data/BAEnM10 [2016-03-04 15.42.28]/BAEnM10.ctprofile.xml"
"41",NA,"0","529.0662","-118.9702","0","0","0","210","36",NA,"0","Reflection 225","0","gn11","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","1415","5","0","0","0","20000","0","1000","1","0","false","2","0.2","false","false","NIKON-373940","false",NA,"true","3135","1","0","1995","0","1995","0","1995","100","0","0","true","0","false","false","0","0","0","BAEnM11","0","351.8922","-118.9702","0","0","false","0","false","None","false","0",NA,NA,NA,"Y:/CT data/BAEnM11 [2016-03-05 12.54.42]/BAEnM11.ctprofile.xml"
